Entity,Code,Year,pop_missreg_bmr_owid,pop_nondem_womsuffr_bmr_owid,pop_dem_womsuffr_bmr_owid
World,OWID_WRL,1969,357598343,2054057005,1214025616
World,OWID_WRL,1970,369824703,2093200322,1237660651
World,OWID_WRL,1971,308841131,2197169936,1269748963
World,OWID_WRL,1972,305550442,2205064455,1341035688
World,OWID_WRL,1973,309178089,2242077767,1376524662
World,OWID_WRL,1974,312764469,2281623225,1409406484
World,OWID_WRL,1975,302231627,2297917139,1479331707
World,OWID_WRL,1976,250576963,2461723034,1442366827
World,OWID_WRL,1977,252442351,2559112804,1417950762
World,OWID_WRL,1978,254258761,2609714566,1440560270
World,OWID_WRL,1979,256163221,2565598258,1558744701
World,OWID_WRL,1980,258466945,2635155981,1564652026
World,OWID_WRL,1981,260216028,2697455251,1579325337
World,OWID_WRL,1982,262345443,2740036615,1615004466
World,OWID_WRL,1983,264597582,2746355113,1688616489
World,OWID_WRL,1984,266912813,2792640336,1724458363
